Lat,Lon,Amenity,Name
18.4677685,-66.1152245,school,Colegio de Párvulos
18.4639124,-66.1186616,place_of_worship,Iglesia de la Concepción
18.4668527,-66.1184610,school,Seminario Conciliar
18.4666395,-66.1184168,university,Centro de Estudios Avanzados de Puerto Rico y el Caribe
18.4671867,-66.1152438,place_of_worship,Templo La Hermosa
18.4632882,-66.1133788,fast_food,Subway
18.4636810,-66.1134747,pharmacy,Farmacia Caridad
18.4637238,-66.1132870,atm,Scotiabank
18.4632525,-66.1135179,restaurant,Tijuana's Bar & Grill
18.4656015,-66.1133030,restaurant,Marmalade Restaurant
18.4660562,-66.1143800,fast_food,Burger King
18.4655997,-66.1162421,pharmacy,Walgreens
18.4665440,-66.1120950,restaurant,Cafe Berlin
18.4659446,-66.1123401,restaurant,Cafe Puerto Rico
18.4649643,-66.1182676,restaurant,La Cucina di Ivo
18.4644302,-66.1178719,restaurant,La Danza
18.4645550,-66.1172424,restaurant,Barrachina
18.4646386,-66.1174717,cafe,Cafe el Punto
18.4643349,-66.1177304,restaurant,El Parnaso
18.4648303,-66.1170729,dentist,Emergency Care Dentist
18.4651736,-66.1176561,bar,Marilyn's Place
18.4640870,-66.1169740,restaurant,Verde Mesa
18.4640262,-66.1176560,bar,Anam
18.4647960,-66.1170652,ice_cream,Yogen Früz
18.4655642,-66.1159041,cafe,Bad Ass Coffee
18.4655587,-66.1153389,restaurant,Carthage Express
18.4648877,-66.1158570,restaurant,Pizza Hut
18.4655478,-66.1163993,pharmacy,Puerto Rico Drug
18.4654567,-66.1162008,fast_food,Subway
18.4651774,-66.1161408,cafe,the poet's passage
18.4660235,-66.1140575,restaurant,Cafe Mallorca
18.4659109,-66.1149425,pharmacy,Farmacia Luma
18.4658082,-66.1153716,restaurant,hecho en casa
18.4654450,-66.1141673,bar,Douglas's Pub
18.4656597,-66.1141494,restaurant,Han Cream
18.4655147,-66.1137085,restaurant,La Roca
18.4655222,-66.1136430,restaurant,Trois Cent Onze
18.4655415,-66.1135644,restaurant,Tío Danny
18.4657690,-66.1141673,nightclub,Viva San Juan
18.4660252,-66.1133749,nightclub,Nuyorican Café
18.4641691,-66.1151534,restaurant,Carli's
18.4641282,-66.1152811,atm,Popular
18.4642835,-66.1154722,atm,Oriental
18.4666037,-66.1117184,ice_cream,Blizz
18.4664845,-66.1123576,restaurant,Caficultura
18.4665248,-66.1121876,restaurant,Old SJ Food Court
18.4657910,-66.1150146,bar,Wisos Velillas Bar
18.4664216,-66.1128789,restaurant,Blessed
18.4663850,-66.1130403,restaurant,La Madre
18.4664101,-66.1129278,restaurant,The House of Mofongo
18.4646715,-66.1144555,nightclub,Nuestro Son
18.4657206,-66.1123571,restaurant,Sofia's
18.4654353,-66.1123493,restaurant,Balcon del Moreno's
18.4652414,-66.1124717,bar,Brickhouse
18.4656281,-66.1126767,restaurant,Ceviche
18.4654650,-66.1123389,bar,Colmado Bar Moreno's
18.4657034,-66.1124313,restaurant,Tacos
18.4651865,-66.1125420,ice_cream,Frozen Yo
18.4653174,-66.1124222,restaurant,Moreno's Stop Bar Rest.
18.4653810,-66.1123810,cafe,Starbucks
18.4656083,-66.1127418,restaurant,La Cucina di Ivo
18.4657482,-66.1130260,restaurant,Toro Salao
18.4661865,-66.1133054,restaurant,El Asador
18.4667759,-66.1142392,restaurant,Restaurante La Rubia
18.4677530,-66.1143804,pub,El Adoquín del Patio
18.4641561,-66.1149013,restaurant,Triana
18.4645902,-66.1129033,restaurant,Vaca Brava
18.4643382,-66.1143618,cafe,Café Cuatro Sombras
18.4661472,-66.1183943,restaurant,El Picoteo
18.4663214,-66.1183289,restaurant,Pizza e Birra
18.4645469,-66.1136511,restaurant,Al Dente
18.4648120,-66.1129830,restaurant,Genesis
18.4645668,-66.1135857,restaurant,Inarú
18.4647723,-66.1130645,restaurant,Istanbul Restaurant
18.4645302,-66.1137227,restaurant,La Picadera Bar & Restaurant
18.4645007,-66.1138066,restaurant,La Cueva del Mar
18.4645810,-66.1135224,restaurant,Lupis
18.4647224,-66.1131546,restaurant,Mojitos
18.4648496,-66.1128961,restaurant,Panza Fine Dining
18.4646136,-66.1134280,restaurant,Raíces
18.4637516,-66.1140204,restaurant,Café Ochoa
18.4648663,-66.1122991,bank,Santander
18.4639125,-66.1124007,bar,Señor Frogs
18.4646350,-66.1122200,post_office,USPS - Viejo San Juan
18.4668796,-66.1143624,restaurant,El Caldero
18.4667502,-66.1143740,restaurant,Mercado La Carreta
18.4672090,-66.1144700,restaurant,Restaurante El Jibarito
18.4672480,-66.1148680,cafe,Cafetín Marrero
18.4672830,-66.1146510,bar,El Farolito
18.4663068,-66.1156805,arts_centre,Beta-Local
18.4660637,-66.1172417,theatre,"Corralón de San José, Instituto de Cultura Puertorriqueña"
18.4658769,-66.1164482,restaurant,Il Bacaro Venezia
18.4667525,-66.1166561,restaurant,St. Germain Bistro and Cafe
18.4667420,-66.1166631,bar,The Mezzanie
18.4669197,-66.1175664,bar,Acqua
18.4671365,-66.1180533,restaurant,Aureola
18.4665427,-66.1182491,ice_cream,Ben & Jerry's
18.4662133,-66.1181624,bar,Booty's
18.4666356,-66.1182790,cafe,Don Collin's
18.4662559,-66.1181824,bar,Don Pablo
18.4663165,-66.1182023,bar,El Batey
18.4671230,-66.1181072,bar,El Boqueron
18.4671069,-66.1181810,restaurant,El Patio de Sam
18.4671157,-66.1174881,bar,La Cubanita
18.4673506,-66.1170993,bar,La Sombrilla Rosa
18.4672119,-66.1176714,restaurant,La Tortuga
18.4670611,-66.1183769,bar,Nono's
18.4653968,-66.1170805,fast_food,Meson Sandwiches
18.4667430,-66.1165023,restaurant,Deaverdura
18.4674435,-66.1162976,place_of_worship,Logia Caballeros de la Verdad Nº 37
18.4654699,-66.1184035,restaurant,Rosa de Triana
18.4652534,-66.1182060,restaurant,Tropical Taste
18.4675925,-66.1195205,cafe,Café Don Ruiz
18.4681067,-66.1198399,bar,Cinema Bar 1950
18.4672782,-66.1178127,bar,Café Culebra
18.4673143,-66.1176275,restaurant,Casa Borinquen
18.4672655,-66.1178855,bar,Dákiti
18.4673972,-66.1172793,bar,La Taberna Lúpulo
18.4673332,-66.1194834,university,Escuela de Artes Plásticas de Puerto Rico
18.4641575,-66.1069180,restaurant,Melao
18.4666262,-66.1188558,university,Centro de Estudios Avanzados de Puerto Rico y el Caribe
18.4687308,-66.1143297,bar,El Kofresí
18.4653988,-66.1135378,restaurant,Greengos Caribbean Cantina
18.4641438,-66.1165072,ice_cream,Señor Paleta
18.4667494,-66.1166886,bar,Alfresco Rooftop Wine Bar
18.4660403,-66.1144935,cafe,Café Finca Cialitos
18.4673131,-66.1171989,restaurant,Sanse
18.4650611,-66.1168671,atm,Popular
18.4652458,-66.1161845,atm,Popular
18.4650654,-66.1166829,cafe,Pani Agua
18.4683478,-66.1196093,marketplace,Mercado Agrícola Natural Viejo San Juan
18.4653652,-66.1154099,restaurant,La Güerita
18.4633761,-66.1129657,restaurant,Gspot
18.4650093,-66.1126866,restaurant,Buns Burger Shop
18.4655098,-66.1155287,cafe,Casa Cortés ChocoBar
18.4675149,-66.1199780,restaurant,Rincón Ibérico
18.4676014,-66.1194710,restaurant,Tío Danny
18.4640524,-66.1121345,pharmacy,Walgreens
18.4641082,-66.1069479,cafe,Cafe Muelle 6
18.4672429,-66.1173999,nightclub,La Factoría
18.4670955,-66.1176103,ice_cream,Heladería San José
18.4671729,-66.1179049,bar,Local #110
18.4670051,-66.1175831,restaurant,Tradición Quetzal
18.4671945,-66.1177476,bar,El Quinqué
18.4670436,-66.1174762,cafe,Quimera
18.4670580,-66.1176023,bar,Te Cojo Bajando
18.4672340,-66.1174922,bar,Café Hijos de Borinquen
18.4672760,-66.1172689,bar,Mono Stereo
18.4676026,-66.1173272,bar,Papijoe
18.4672331,-66.1186726,restaurant,Ostra Cosa @Tótem
18.4643114,-66.1178476,bar,The Chapel
18.4640451,-66.1174253,bar,T-tuan
18.4642491,-66.1169373,restaurant,Waffle-era Tea Room
18.4674760,-66.1169842,pub,Rivera Hermanas
18.4656785,-66.1157921,parking_entrance,La Cochera
18.4637009,-66.1168501,restaurant,Princesa Gastrobar
18.4654577,-66.1138476,restaurant,Punto de Vista
18.4633788,-66.1144492,restaurant,La Casita de Rones
18.4658708,-66.1150868,restaurant,Ajo del Pais
18.4659500,-66.1147865,restaurant,La Bombonera
18.4646800,-66.1109766,police,Cuartel de la Policía Municipal del Viejo San Juan
18.4645182,-66.1174473,ice_cream,Himalaya Ice Co
18.4671766,-66.1183908,fast_food,Dokas Donas Artesanales
18.4633902,-66.1129073,cafe,Café Cola'o
18.4654302,-66.1141158,restaurant,Pirilo Pizza Rústica
18.4655410,-66.1166828,townhall,Casa Alcaldía de San Juan
18.4664099,-66.1130767,bar,La Grieta
18.4644626,-66.1153061,restaurant,Spiga
18.4676515,-66.1162524,restaurant,Cannon Club
18.4654615,-66.1162237,restaurant,The Cave
18.4678566,-66.1144645,fast_food,Antojitos del Callejón
18.4676605,-66.1144531,restaurant,El Rincón De Paco
18.4664852,-66.1155041,marketplace,Luna Market
18.4679139,-66.1144664,restaurant,La Verguenza
18.4670192,-66.1132447,restaurant,Restaurante Casa Luna
